WRIST_x, WRIST_y, THUMB_CMC_x, THUMB_CMC_y, THUMB_MCP_x, THUMB_MCP_y, THUMB_IP_x, THUMB_IP_y, THUMB_TIP_x, THUMB_TIP_y, INDEX_FINGER_MCP_x, INDEX_FINGER_MCP_y, INDEX_FINGER_PIP_x, INDEX_FINGER_PIP_y, INDEX_FINGER_DIP_x, INDEX_FINGER_DIP_y, INDEX_FINGER_TIP_x, INDEX_FINGER_TIP_y, MIDDLE_FINGER_MCP_x, MIDDLE_FINGER_MCP_y, MIDDLE_FINGER_PIP_x, MIDDLE_FINGER_PIP_y, MIDDLE_FINGER_DIP_x, MIDDLE_FINGER_DIP_y, MIDDLE_FINGER_TIP_x, MIDDLE_FINGER_TIP_y, RING_FINGER_MCP_x, RING_FINGER_MCP_y, RING_FINGER_PIP_x, RING_FINGER_PIP_y, RING_FINGER_DIP_x, RING_FINGER_DIP_y, RING_FINGER_TIP_x, RING_FINGER_TIP_y, PINKY_MCP_x, PINKY_MCP_y, PINKY_PIP_x, PINKY_PIP_y, PINKY_DIP_x, PINKY_DIP_y, PINKY_TIP_x, PINKY_TIP_y, OUTPUT
0.0,0.0,0.3235294117647059,0.2294117647058823,0.5941176470588235,0.4470588235294118,0.7941176470588235,0.6235294117647059,1.0,0.7470588235294118,0.6470588235294118,0.4,0.8176470588235294,0.5647058823529412,0.9058823529411764,0.6705882352941176,0.9647058823529412,0.7235294117647059,0.488235294117647,0.3941176470588235,0.6529411764705882,0.5411764705882353,0.7529411764705882,0.6058823529411764,0.8235294117647058,0.6588235294117647,0.3529411764705882,0.3941176470588235,0.488235294117647,0.4941176470588235,0.5882352941176471,0.5529411764705883,0.6470588235294118,0.611764705882353,0.2352941176470588,0.4117647058823529,0.3705882352941176,0.4823529411764706,0.4529411764705882,0.5117647058823529,0.4941176470588235,0.5294117647058824,1
0.0,0.0,-0.3676470588235294,-0.1813725490196078,-0.6078431372549019,-0.4362745098039216,-0.6568627450980392,-0.6862745098039216,-0.6568627450980392,-0.8774509803921569,-0.6078431372549019,-0.6225490196078431,-0.6813725490196079,-0.8872549019607843,-0.5588235294117647,-0.8137254901960784,-0.4558823529411764,-0.6568627450980392,-0.4607843137254901,-0.7107843137254902,-0.5441176470588235,-0.9607843137254902,-0.4313725490196078,-0.8529411764705882,-0.3480392156862745,-0.6862745098039216,-0.3186274509803921,-0.7696078431372549,-0.4068627450980392,-1.0,-0.3186274509803921,-0.8578431372549019,-0.2647058823529412,-0.6862745098039216,-0.1715686274509804,-0.7696078431372549,-0.2352941176470588,-0.9754901960784312,-0.2058823529411764,-0.8480392156862745,-0.1862745098039215,-0.7009803921568627,1
0.0,0.0,-0.4429824561403508,-0.0789473684210526,-0.7192982456140351,-0.337719298245614,-0.8157894736842105,-0.6228070175438597,-0.8245614035087719,-0.8245614035087719,-0.6052631578947368,-0.6578947368421053,-0.7017543859649122,-0.9035087719298246,-0.6666666666666666,-0.6885964912280702,-0.5921052631578947,-0.5087719298245614,-0.4342105263157895,-0.7192982456140351,-0.5263157894736842,-0.9824561403508772,-0.4868421052631579,-0.6973684210526315,-0.4035087719298245,-0.5263157894736842,-0.2412280701754386,-0.7675438596491229,-0.3464912280701754,-1.0,-0.3157894736842105,-0.706140350877193,-0.2456140350877192,-0.5307017543859649,-0.0219298245614035,-0.7807017543859649,-0.131578947368421,-0.9649122807017544,-0.1491228070175438,-0.75,-0.1052631578947368,-0.6140350877192983,1
0.0,0.0,-0.4508928571428571,-0.0625,-0.7366071428571429,-0.3258928571428571,-0.8303571428571429,-0.6116071428571429,-0.8794642857142857,-0.8348214285714286,-0.5982142857142857,-0.65625,-0.7142857142857143,-0.8883928571428571,-0.6830357142857143,-0.6696428571428571,-0.6071428571428571,-0.5044642857142857,-0.4285714285714285,-0.71875,-0.5535714285714286,-0.9955357142857144,-0.5223214285714286,-0.6875,-0.4285714285714285,-0.5267857142857143,-0.2410714285714285,-0.7589285714285714,-0.3660714285714285,-1.0,-0.3392857142857143,-0.6875,-0.25,-0.5223214285714286,-0.0133928571428571,-0.7723214285714286,-0.1517857142857142,-0.9732142857142856,-0.1696428571428571,-0.7544642857142857,-0.1160714285714285,-0.6205357142857143,1
0.0,0.0,-0.4493392070484581,-0.0704845814977973,-0.7180616740088106,-0.3171806167400881,-0.8105726872246696,-0.5991189427312775,-0.8502202643171806,-0.8281938325991189,-0.5682819383259912,-0.6299559471365639,-0.6740088105726872,-0.8502202643171806,-0.6563876651982379,-0.6475770925110133,-0.5814977973568282,-0.4889867841409692,-0.3964757709251101,-0.7004405286343612,-0.5330396475770925,-0.973568281938326,-0.5066079295154186,-0.6651982378854625,-0.4052863436123348,-0.4933920704845815,-0.2070484581497797,-0.7400881057268722,-0.3480176211453744,-1.0,-0.3215859030837004,-0.6696035242290749,-0.2202643171806167,-0.4977973568281938,0.0308370044052863,-0.7533039647577092,-0.1233480176211453,-0.9559471365638766,-0.1409691629955947,-0.7312775330396476,-0.0748898678414096,-0.5991189427312775,1
0.0,0.0,-0.4508928571428571,-0.0535714285714285,-0.71875,-0.3125,-0.8169642857142857,-0.6071428571428571,-0.8660714285714286,-0.8348214285714286,-0.5580357142857143,-0.6294642857142857,-0.6696428571428571,-0.8571428571428571,-0.6473214285714286,-0.6517857142857143,-0.5714285714285714,-0.5,-0.3928571428571428,-0.6964285714285714,-0.5446428571428571,-0.96875,-0.5089285714285714,-0.65625,-0.40625,-0.4955357142857143,-0.2053571428571428,-0.7366071428571429,-0.3571428571428571,-1.0,-0.3258928571428571,-0.6696428571428571,-0.2232142857142857,-0.4955357142857143,0.03125,-0.75,-0.1294642857142857,-0.9553571428571428,-0.1473214285714285,-0.7276785714285714,-0.0803571428571428,-0.5848214285714286,1
0.0,0.0,-0.4594594594594595,-0.0585585585585585,-0.7207207207207207,-0.3153153153153153,-0.8063063063063063,-0.6126126126126126,-0.8513513513513513,-0.8423423423423423,-0.5630630630630631,-0.6261261261261262,-0.6756756756756757,-0.8423423423423423,-0.6486486486486487,-0.6486486486486487,-0.5765765765765766,-0.5,-0.3918918918918919,-0.6936936936936937,-0.536036036036036,-0.9684684684684683,-0.5,-0.6621621621621622,-0.3963963963963964,-0.4909909909909909,-0.1981981981981982,-0.7342342342342343,-0.3423423423423423,-1.0,-0.3063063063063063,-0.6666666666666666,-0.2072072072072072,-0.481981981981982,0.045045045045045,-0.7432432432432432,-0.1126126126126126,-0.954954954954955,-0.1306306306306306,-0.7252252252252253,-0.0675675675675675,-0.5765765765765766,1
0.0,0.0,-0.4657534246575342,-0.0639269406392694,-0.726027397260274,-0.319634703196347,-0.8127853881278538,-0.6118721461187214,-0.867579908675799,-0.8401826484018264,-0.5616438356164384,-0.634703196347032,-0.6712328767123288,-0.8493150684931506,-0.6575342465753424,-0.6575342465753424,-0.5844748858447488,-0.5068493150684932,-0.3926940639269406,-0.7031963470319634,-0.5342465753424658,-0.9817351598173516,-0.5068493150684932,-0.6712328767123288,-0.4063926940639269,-0.4977168949771689,-0.2009132420091324,-0.7397260273972602,-0.3470319634703196,-1.0,-0.3105022831050228,-0.6666666666666666,-0.2054794520547945,-0.4885844748858447,0.045662100456621,-0.7488584474885844,-0.1278538812785388,-0.954337899543379,-0.136986301369863,-0.7214611872146118,-0.0547945205479452,-0.5753424657534246,1
0.0,0.0,-0.4409090909090909,-0.0681818181818181,-0.7,-0.3227272727272727,-0.7863636363636364,-0.6090909090909091,-0.8318181818181818,-0.8363636363636363,-0.5318181818181819,-0.6227272727272727,-0.65,-0.8409090909090909,-0.6409090909090909,-0.6590909090909091,-0.5772727272727273,-0.5045454545454545,-0.3727272727272727,-0.6863636363636364,-0.5136363636363637,-0.9727272727272728,-0.5,-0.6863636363636364,-0.4045454545454545,-0.5,-0.1772727272727272,-0.7272727272727273,-0.3272727272727272,-1.0,-0.3045454545454545,-0.6818181818181818,-0.2045454545454545,-0.4909090909090909,0.059090909090909,-0.7363636363636363,-0.109090909090909,-0.95,-0.1272727272727272,-0.7272727272727273,-0.0545454545454545,-0.5727272727272728,1
0.0,0.0,-0.4516129032258064,-0.0506912442396313,-0.7096774193548387,-0.3133640552995391,-0.7972350230414746,-0.6082949308755761,-0.847926267281106,-0.8341013824884793,-0.5529953917050692,-0.6175115207373272,-0.663594470046083,-0.8341013824884793,-0.6497695852534562,-0.6451612903225806,-0.5852534562211982,-0.4930875576036866,-0.3870967741935484,-0.6866359447004609,-0.5345622119815668,-0.9631336405529954,-0.5023041474654378,-0.663594470046083,-0.3963133640552995,-0.488479262672811,-0.1889400921658986,-0.7235023041474654,-0.3410138248847926,-1.0,-0.3087557603686636,-0.6682027649769585,-0.2027649769585253,-0.4838709677419355,0.0552995391705069,-0.7419354838709677,-0.1152073732718894,-0.9447004608294932,-0.1290322580645161,-0.7142857142857143,-0.0552995391705069,-0.5668202764976958,1
